Character_Name	Ideals	Origin
2 Gun Kid	Heroic	Marvel Comics
3D Man	Heroic	Marvel Comics
Abomination	Villainous	Marvel Comics
Abominatrix	Villainous	DC Universe
Absorbingman	Villainous	Marvel Comics
Adam Strange	Heroic	DC Universe
Adam Warlock	Heroic	Marvel Comics
Adversary	Cosmic Entity	Marvel Comics
Aegis	Heroic	Marvel Comics
Agatha Harkness	Heroic	Marvel Comics
Aginar	Heroic	Marvel Comics
Aguila	Heroic	Marvel Comics
Airstrike	Villainous	Marvel Comics
Air Walker	Heroic	Marvel Comics
Ajak	Heroic	Marvel Comics
Alchemist	Heroic	DC Universe
Alkhema	Villainous	Marvel Comics
Amazo	Villainous	DC Universe
American Dream	Heroic	Marvel MC2
American Eagle	Heroic	Marvel Comics
Amphibian	Heroic	Marvel Comics
Anaconda	Villainous	Marvel Comics
Ancient One	Cosmic Entity	Marvel Comics
Andromeda	Heroic	Marvel Comics
Andromeda	Heroic	DC Universe
Angar, the Screamer	Villainous	Marvel Comics
Angel	Heroic	Marvel Comics
Angle Man	Villainous	DC Universe
Animal Man	Heroic	DC Universe
Annihilus	Villainous	Marvel Comics
Antman II	Heroic	Marvel Comics
Ape X	Heroic	Marvel Comics
Aphrodite	Greek Pantheon	Marvel Comics
Apocalypse	Villainous	Marvel Comics
Apollo	Greek Pantheon	Marvel Comics
Apparition	Heroic	DC Universe
Aquaman	Heroic	DC Universe
Aquarian	Heroic	Marvel Comics
Aquarius		Wildcards
Aqueduct	Villainous	Marvel Comics
Arabian Knight	Heroic	Marvel Comics
Arcanna	Heroic	Marvel Comics
Arclight	Villainous	Marvel Comics
Ares	Greek Pantheon	Marvel Comics
Argo, the Mighty	Heroic	Marvel MC2
Ariel	Heroic	Marvel Comics
Arkon	Heroic	Marvel Comics
Armadillo	Villainous	Marvel Comics
Arnim Zola	Villainous	Marvel Comics
Arrowette	Heroic	DC Universe
Arsenal	Heroic	DC Universe
Artemis	Greek Pantheon	Marvel Comics
Artie	Heroic	Marvel Comics
Asp	Villainous	Marvel Comics
Astronomer	Elders of the Universe	Marvel Comics
Athena	Greek Pantheon	Marvel Comics
Atlas	Heroic	Marvel Comics
Atom I	Heroic	DC Universe
Atom II	Heroic	DC Universe
Atom Smasher 	Heroic	DC Universe
Atomic Skull	Villainous	DC Universe
Attuma	Villainous	Marvel Comics
Atum	Cosmic Entity	Marvel Comics
Aurora	Heroic	Marvel Comics
Avalanche	Villainous	Marvel Comics
Awesome Android	Villainous	Marvel Comics
Azrael	Heroic	DC Universe
Letter B	Return to Top
Balder, the Brave 	Asgardian Pantheon	Marvel Comics
Bane	Villainous	DC Universe
Banshee	Heroic	Marvel Comics
Baron Blood	Villainous	Marvel Comics
Baron Mordo	Villainous	Marvel Comics
Baron Zemo I	Villainous	Marvel Comics
Baron Zemo II	Villainous	Marvel Comics
Baroness Blood	Villainous	Marvel Comics
Basilisk	Villainous	Marvel Comics
Bastion	Villainous	Marvel Comics
Batgirl	Heroic	DC Universe
Batman	Heroic	DC Universe
Battleaxe	Wrestler	Marvel Comics
Battlestar	Heroic	Marvel Comics
Beast	Heroic	Marvel Comics
Bedlam	Villainous	Marvel Comics
Beetle II	Villainous	Marvel Comics
Belasco	Villainous	Marvel Comics
Beta Ray Bill	Heroic	Marvel Comics
Beyonder	Cosmic Entity	Marvel Comics
Big Barda	Heroic	DC Universe
Binary	Heroic	Marvel Comics
Bishop	Heroic	Marvel Comics
Bizarro	Misunderstood	DC Universe
Black Archer	Heroic	Marvel Comics
Black Canary II	Heroic	DC Universe
Black Cat	Heroic	Marvel Comics
Black Eagle		Wildcards
Black Knight III	Heroic	Marvel Comics
Black Lightning	Heroic	DC Universe
Black Mamba	Villainous	Marvel Comics
Black Manta	Villainous	DC Universe
Black Panther	Heroic	Marvel Comics
Black Racer	Villainous	Marvel Comics
Black Tom	Villainous	Marvel Comics
Black Widow II	Heroic	Marvel Comics
Black Widow III	Villainous	Marvel Comics
Blackbolt	Heroic	Marvel Comics
Blackheart	Cosmic Entity	Marvel Comics
Blacklash	Villainous	Marvel Comics
Blacklight	Heroic	Marvel MC2
